file_path,line_number,symbol_type,symbol_name,parent_or_return,visibility,status,notes
integration_test/ai_orchestrator_integration_test.dart,4,Method/Function,main,void,Public,STATICALLY_VALID,Params: ()
integration_test/app_test.dart,6,Method/Function,main,void,Public,STATICALLY_VALID,Params: ()
integration_test/manus_live_verification_test.dart,10,Method/Function,main,void,Public,STATICALLY_VALID,Params: ()
integration_test/wave1a_live_verification_test.dart,9,Method/Function,main,void,Public,STATICALLY_VALID,Params: ()
lib/config.dart,2,Class,Config,,Public,STATICALLY_VALID,Base Class
lib/main.dart,44,Method/Function,main,Future<void>,Public,STATICALLY_VALID,Params: ()
lib/main.dart,128,Class,SmartContentCreatorApp,StatelessWidget,Public,STATICALLY_VALID,Extends StatelessWidget
lib/main.dart,129,Method/Function,SmartContentCreatorApp.SmartContentCreatorApp,const,Public,STATICALLY_VALID,Params: ({super.key})
lib/main.dart,132,Method/Function,SmartContentCreatorApp.build,Widget,Public,STATICALLY_VALID,Params: (BuildContext context)
lib/main.dart,146,Method/Function,SmartContentCreatorApp.Breakpoint,const,Public,STATICALLY_VALID,"Params: (start: 0, end: 450, name: MOBILE)"
lib/main.dart,147,Method/Function,SmartContentCreatorApp.Breakpoint,const,Public,STATICALLY_VALID,"Params: (start: 451, end: 800, name: TABLET)"
lib/main.dart,148,Method/Function,SmartContentCreatorApp.Breakpoint,const,Public,STATICALLY_VALID,"Params: (start: 801, end: 1920, name: DESKTOP)"
lib/main.dart,149,Method/Function,SmartContentCreatorApp.Breakpoint,const,Public,STATICALLY_VALID,"Params: (start: 1921, end: double.infinity, name:...)"
lib/main.dart,233,Method/Function,SmartContentCreatorApp.ProductPhotographyScreen,const,Public,STATICALLY_VALID,Params: ()
lib/main.dart,237,Method/Function,SmartContentCreatorApp.ProductCatalogScreen,const,Public,STATICALLY_VALID,Params: ()
scratch/inspect_excel.dart,9,Class,CatalogXlsxImportResult,,Public,STATICALLY_VALID,Base Class
scratch/inspect_excel.dart,25,Class,CatalogXlsxImportService,,Public,STATICALLY_VALID,Base Class
scratch/inspect_excel.dart,102,Method/Function,CatalogXlsxImportService.FormatException,throw,Public,STATICALLY_VALID,Params: ('No sheets found in workbook. Available:...)
scratch/inspect_excel.dart,104,Method/Function,CatalogXlsxImportService.FormatException,throw,Public,STATICALLY_VALID,"Params: ('Required sheet ""$targetSheetName"" was n...)"
scratch/inspect_excel.dart,110,Method/Function,CatalogXlsxImportService.FormatException,throw,Public,STATICALLY_VALID,"Params: ('Worksheet file ""$targetSheetPath"" not f...)"
scratch/inspect_excel.dart,128,Method/Function,CatalogXlsxImportService.getCellText,String,Public,STATICALLY_VALID,Params: (XmlElement c)
scratch/inspect_excel.dart,187,Method/Function,CatalogXlsxImportService.getVal,String,Public,STATICALLY_VALID,Params: (String colName)
scratch/inspect_excel.dart,263,Method/Function,CatalogXlsxImportService.main,void,Public,STATICALLY_VALID,Params: ()
test/ai_backend_router_test.dart,9,Class,MockFirebaseAiLogicService,FirebaseAiLogicService,Public,STATICALLY_VALID,Extends FirebaseAiLogicService
test/ai_backend_router_test.dart,52,Class,MockBack4AppGatewayService,Back4AppGatewayService,Public,STATICALLY_VALID,Extends Back4AppGatewayService
test/ai_backend_router_test.dart,77,Class,TestableAIBackendRouter,AIBackendRouter,Public,STATICALLY_VALID,Extends AIBackendRouter
test/ai_backend_router_test.dart,81,Method/Function,TestableAIBackendRouter.resolveBackend,Future<String>,Public,STATICALLY_VALID,Params: ()
test/ai_backend_router_test.dart,86,Method/Function,TestableAIBackendRouter.main,void,Public,STATICALLY_VALID,Params: ()
test/catalog_dual_read_verification_test.dart,7,Class,MockBack4AppCatalogRepository,,Public,STATICALLY_VALID,Base Class
test/catalog_dual_read_verification_test.dart,30,Method/Function,MockBack4AppCatalogRepository.getProduct,Future<CatalogProduct?>,Public,STATICALLY_VALID,Params: (String productId)
test/catalog_dual_read_verification_test.dart,32,Method/Function,MockBack4AppCatalogRepository.saveProduct,Future<bool>,Public,STATICALLY_VALID,Params: (CatalogProduct product)
test/catalog_dual_read_verification_test.dart,34,Method/Function,MockBack4AppCatalogRepository.updateProduct,Future<bool>,Public,STATICALLY_VALID,Params: (CatalogProduct product)
test/catalog_dual_read_verification_test.dart,36,Method/Function,MockBack4AppCatalogRepository.deleteProduct,Future<bool>,Public,STATICALLY_VALID,Params: (String productId)
test/catalog_dual_read_verification_test.dart,38,Method/Function,MockBack4AppCatalogRepository.restoreProduct,Future<bool>,Public,STATICALLY_VALID,Params: (String productId)
test/catalog_dual_read_verification_test.dart,40,Method/Function,MockBack4AppCatalogRepository.syncWithServer,Future<void>,Public,STATICALLY_VALID,Params: ()
test/catalog_dual_read_verification_test.dart,42,Method/Function,MockBack4AppCatalogRepository.getProductMedia,Future<List<CatalogProductMedia>>,Public,STATICALLY_VALID,Params: (String productId)
test/catalog_dual_read_verification_test.dart,44,Method/Function,MockBack4AppCatalogRepository.addProductMedia,Future<bool>,Public,STATICALLY_VALID,Params: (CatalogProductMedia media)
test/catalog_dual_read_verification_test.dart,46,Method/Function,MockBack4AppCatalogRepository.deleteProductMedia,Future<bool>,Public,STATICALLY_VALID,Params: (String mediaId)
test/catalog_dual_read_verification_test.dart,48,Method/Function,MockBack4AppCatalogRepository.batchSaveProducts,Future<int>,Public,STATICALLY_VALID,"Params: (List<CatalogProduct> products, {int batc...)"
test/catalog_dual_read_verification_test.dart,50,Method/Function,MockBack4AppCatalogRepository.getCategories,Future<List<CatalogCategory>>,Public,STATICALLY_VALID,Params: ()
test/catalog_dual_read_verification_test.dart,53,Method/Function,MockBack4AppCatalogRepository.main,void,Public,STATICALLY_VALID,Params: ()
test/catalog_excel_parser_test.dart,7,Method/Function,main,void,Public,STATICALLY_VALID,Params: ()
test/catalog_xlsx_import_service_test.dart,5,Method/Function,main,void,Public,STATICALLY_VALID,Params: ()
test/chinese_platform_query_test.dart,5,Method/Function,main,void,Public,STATICALLY_VALID,Params: ()
