control_id,file_path,line_number,widget_type,label_or_icon,callback,has_loading_state,prevents_multi_click,is_idempotent,status,notes
UI_1,lib/controllers/admin_controller.dart,278,TextButton,Inferred from context,(,No,No / Unprotected,NEEDS_RUNTIME_TEST,STATICALLY_VALID,Found in AdminController
UI_2,lib/controllers/auth_controller.dart,315,TextField,Inferred from context,(,No,No / Unprotected,NEEDS_RUNTIME_TEST,STATICALLY_VALID,Found in AuthController
UI_3,lib/controllers/auth_controller.dart,324,ElevatedButton,Inferred from context,(,No,No / Unprotected,NEEDS_RUNTIME_TEST,STATICALLY_VALID,Found in AuthController
UI_4,lib/controllers/catalog_controller.dart,1468,InkWell,Inferred from context,(,No,No / Unprotected,NEEDS_RUNTIME_TEST,STATICALLY_VALID,Found in CatalogController
UI_5,lib/controllers/catalog_controller.dart,1530,InkWell,Inferred from context,(,No,No / Unprotected,NEEDS_RUNTIME_TEST,STATICALLY_VALID,Found in CatalogController
UI_6,lib/controllers/settings_controller.dart,546,TextButton,Inferred from context,(,No,No / Unprotected,NEEDS_RUNTIME_TEST,STATICALLY_VALID,Found in SettingsController
UI_7,lib/controllers/settings_controller.dart,550,ElevatedButton,Inferred from context,(,No,No / Unprotected,NEEDS_RUNTIME_TEST,STATICALLY_VALID,Found in SettingsController
UI_8,lib/screens/admin_dashboard_screen.dart,231,IconButton,Inferred from context,(,No,No / Unprotected,NEEDS_RUNTIME_TEST,STATICALLY_VALID,Found in AdminDashboardScreen
UI_9,lib/screens/admin_dashboard_screen.dart,244,IconButton,Inferred from context,(,No,No / Unprotected,NEEDS_RUNTIME_TEST,STATICALLY_VALID,Found in AdminDashboardScreen
UI_10,lib/screens/admin_dashboard_screen.dart,251,IconButton,Inferred from context,(,No,No / Unprotected,NEEDS_RUNTIME_TEST,STATICALLY_VALID,Found in AdminDashboardScreen
UI_11,lib/screens/admin_dashboard_screen.dart,257,IconButton,Inferred from context,(,No,No / Unprotected,NEEDS_RUNTIME_TEST,STATICALLY_VALID,Found in AdminDashboardScreen
UI_12,lib/screens/admin_dashboard_screen.dart,269,IconButton,Inferred from context,(,No,No / Unprotected,NEEDS_RUNTIME_TEST,STATICALLY_VALID,Found in AdminDashboardScreen
UI_13,lib/screens/admin_dashboard_screen.dart,275,IconButton,Inferred from context,(,No,No / Unprotected,NEEDS_RUNTIME_TEST,STATICALLY_VALID,Found in AdminDashboardScreen
UI_14,lib/screens/admin_dashboard_screen.dart,544,TextField,Inferred from context,(v,No,No / Unprotected,NEEDS_RUNTIME_TEST,STATICALLY_VALID,Found in AdminDashboardScreen
UI_15,lib/screens/admin_dashboard_screen.dart,554,IconButton,Inferred from context,(,No,No / Unprotected,NEEDS_RUNTIME_TEST,STATICALLY_VALID,Found in AdminDashboardScreen
UI_16,lib/screens/admin_dashboard_screen.dart,578,GestureDetector,Inferred from context,(,No,No / Unprotected,NEEDS_RUNTIME_TEST,STATICALLY_VALID,Found in AdminDashboardScreen
UI_17,lib/screens/admin_dashboard_screen.dart,747,ListTile,Inferred from context,(,No,No / Unprotected,NEEDS_RUNTIME_TEST,STATICALLY_VALID,Found in AdminDashboardScreen
UI_18,lib/screens/admin_dashboard_screen.dart,959,IconButton,Inferred from context,(user['email'] ?? '',No,No / Unprotected,NEEDS_RUNTIME_TEST,STATICALLY_VALID,Found in AdminDashboardScreen
UI_19,lib/screens/admin_dashboard_screen.dart,1917,PopupMenuButton,Inferred from context,(,No,No / Unprotected,NEEDS_RUNTIME_TEST,STATICALLY_VALID,Found in AdminDashboardScreen
UI_20,lib/screens/admin_dashboard_screen.dart,2041,TextButton,Inferred from context,(,No,No / Unprotected,NEEDS_RUNTIME_TEST,STATICALLY_VALID,Found in AdminDashboardScreen
UI_21,lib/screens/admin_dashboard_screen.dart,2046,ElevatedButton,Inferred from context,(,No,No / Unprotected,NEEDS_RUNTIME_TEST,STATICALLY_VALID,Found in AdminDashboardScreen
UI_22,lib/screens/admin_dashboard_screen.dart,2320,Switch,Inferred from context,onChanged,No,No / Unprotected,NEEDS_RUNTIME_TEST,STATICALLY_VALID,Found in AdminDashboardScreen
UI_23,lib/screens/admin_dashboard_screen.dart,2415,IconButton,Inferred from context,(,No,No / Unprotected,NEEDS_RUNTIME_TEST,STATICALLY_VALID,Found in AdminDashboardScreen
UI_24,lib/screens/admin_dashboard_screen.dart,2430,TextButton,Inferred from context,(,No,No / Unprotected,NEEDS_RUNTIME_TEST,STATICALLY_VALID,Found in AdminDashboardScreen
UI_25,lib/screens/admin_dashboard_screen.dart,2529,TextButton,Inferred from context,(,No,No / Unprotected,NEEDS_RUNTIME_TEST,STATICALLY_VALID,Found in AdminDashboardScreen
UI_26,lib/screens/admin_dashboard_screen.dart,2566,Slider,Inferred from context,(v,No,No / Unprotected,NEEDS_RUNTIME_TEST,STATICALLY_VALID,Found in AdminDashboardScreen
UI_27,lib/screens/admin_dashboard_screen.dart,2600,ElevatedButton,Inferred from context,(,No,No / Unprotected,NEEDS_RUNTIME_TEST,STATICALLY_VALID,Found in AdminDashboardScreen
UI_28,lib/screens/admin_dashboard_screen.dart,2661,TextField,Inferred from context,(v,No,No / Unprotected,NEEDS_RUNTIME_TEST,STATICALLY_VALID,Found in AdminDashboardScreen
UI_29,lib/screens/admin_dashboard_screen.dart,2837,TextButton,Inferred from context,(,No,No / Unprotected,NEEDS_RUNTIME_TEST,STATICALLY_VALID,Found in AdminDashboardScreen
UI_30,lib/screens/admin_dashboard_screen.dart,2856,InkWell,Inferred from context,onTap,No,No / Unprotected,NEEDS_RUNTIME_TEST,STATICALLY_VALID,Found in AdminDashboardScreen
UI_31,lib/screens/admin_dashboard_screen.dart,2975,IconButton,Inferred from context,(,No,No / Unprotected,NEEDS_RUNTIME_TEST,STATICALLY_VALID,Found in AdminDashboardScreen
UI_32,lib/screens/admin_dashboard_screen.dart,2980,IconButton,Inferred from context,(,Yes,No / Unprotected,NEEDS_RUNTIME_TEST,STATICALLY_VALID,Found in AdminDashboardScreen
UI_33,lib/screens/ai_chat_screen.dart,260,GestureDetector,Inferred from context,(,Yes,No / Unprotected,NEEDS_RUNTIME_TEST,STATICALLY_VALID,Found in _AiChatScreenState
UI_34,lib/screens/ai_chat_screen.dart,430,IconButton,Inferred from context,(,No,No / Unprotected,NEEDS_RUNTIME_TEST,STATICALLY_VALID,Found in _AiChatScreenState
UI_35,lib/screens/ai_chat_screen.dart,444,IconButton,Inferred from context,onTap,No,No / Unprotected,NEEDS_RUNTIME_TEST,STATICALLY_VALID,Found in _AiChatScreenState
UI_36,lib/screens/ai_chat_screen.dart,450,IconButton,Inferred from context,onTap,No,No / Unprotected,NEEDS_RUNTIME_TEST,STATICALLY_VALID,Found in _AiChatScreenState
UI_37,lib/screens/brand_settings_screen.dart,112,IconButton,Inferred from context,(,Yes,No / Unprotected,NEEDS_RUNTIME_TEST,STATICALLY_VALID,Found in BrandSettingsScreen
