call_id,file_path,line_number,service_type,description,auth_required,timeout_configured,error_handling,status
NET_1,integration_test/manus_live_verification_test.dart,30,Firebase Auth,Firebase Auth authentication,Yes (App Check/Token/API Key),Default / Unspecified,Caller / Try-Catch handled,STATICALLY_VALID
NET_2,integration_test/manus_live_verification_test.dart,33,Firebase Auth,Firebase Auth authentication,Yes (App Check/Token/API Key),Default / Unspecified,Caller / Try-Catch handled,STATICALLY_VALID
NET_3,integration_test/manus_live_verification_test.dart,65,HTTP,http package REST call,No/Local,Default / Unspecified,Caller / Try-Catch handled,STATICALLY_VALID
NET_4,integration_test/wave1a_live_verification_test.dart,33,App Check,Firebase App Check attestation,No/Local,Default / Unspecified,Caller / Try-Catch handled,STATICALLY_VALID
NET_5,lib/main.dart,81,Firestore,Cloud Firestore direct access,No/Local,Default / Unspecified,Caller / Try-Catch handled,STATICALLY_VALID
NET_6,lib/main.dart,92,App Check,Firebase App Check attestation,No/Local,Default / Unspecified,Caller / Try-Catch handled,STATICALLY_VALID
NET_7,test/live_dual_read_runner_test.dart,46,HTTP,http package REST call,No/Local,Default / Unspecified,Caller / Try-Catch handled,STATICALLY_VALID
NET_8,test/live_dual_read_runner_test.dart,68,HTTP,http package REST call,No/Local,Default / Unspecified,Caller / Try-Catch handled,STATICALLY_VALID
NET_9,lib/controllers/admin_controller.dart,192,Firestore,Cloud Firestore direct access,No/Local,Default / Unspecified,Caller / Try-Catch handled,STATICALLY_VALID
NET_10,lib/controllers/admin_controller.dart,224,Firestore,Cloud Firestore direct access,No/Local,Default / Unspecified,Caller / Try-Catch handled,STATICALLY_VALID
NET_11,lib/controllers/admin_controller.dart,336,Firestore,Cloud Firestore direct access,No/Local,Default / Unspecified,Caller / Try-Catch handled,STATICALLY_VALID
NET_12,lib/controllers/admin_controller.dart,499,Firestore,Cloud Firestore direct access,No/Local,Default / Unspecified,Caller / Try-Catch handled,STATICALLY_VALID
NET_13,lib/controllers/admin_controller.dart,702,Firestore,Cloud Firestore direct access,No/Local,Default / Unspecified,Caller / Try-Catch handled,STATICALLY_VALID
NET_14,lib/controllers/admin_controller.dart,907,Firestore,Cloud Firestore direct access,No/Local,Default / Unspecified,Caller / Try-Catch handled,STATICALLY_VALID
NET_15,lib/controllers/admin_controller.dart,936,Firestore,Cloud Firestore direct access,No/Local,Default / Unspecified,Caller / Try-Catch handled,STATICALLY_VALID
