duplicate_id,sha256,file_count,matching_files,similarity,is_intentional,recommended_action
DUP_1,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,5,app_check_debug.txt | web_landing/app/assets/assets/images/background.jpg | assets/images/background.jpg | android/.gradle/8.14.5/gc.properties | android/.gradle/vcs-1/gc.properties,100% Byte-for-Byte Identical,Unlikely / Redundant,Retain primary canonical file and delete redundant copies.
DUP_2,fd1ffd12dc59720e3aa576e354eff6204beb5160cfaba756a7b29d77cc62d2f3,2,shorebird.yaml | web_landing/app/assets/shorebird.yaml,100% Byte-for-Byte Identical,Unlikely / Redundant,Retain primary canonical file and delete redundant copies.
DUP_3,7ab2525f4b86b65d3e4c70358a17e5a1aaf6f437f99cbcc046dad73d59bb9015,2,web/favicon.png | web_landing/app/favicon.png,100% Byte-for-Byte Identical,Unlikely / Redundant,Retain primary canonical file and delete redundant copies.
DUP_4,78ca60e6cf98180fcf8838cf521ed69221521c8b9706af4eb26e35a7a0f4a727,2,web/manifest.json | web_landing/app/manifest.json,100% Byte-for-Byte Identical,Unlikely / Redundant,Retain primary canonical file and delete redundant copies.
DUP_5,181b81b70f67e2f3f20dedc8a3969d9ce7466194d1e6ba85b0e590ed35f6e4f4,2,web_landing/tiktok-developers-site-verification.txt | web_landing/tiktokdKN2PnIaTP3N0tUYZLP5v52z1631giK7.txt,100% Byte-for-Byte Identical,Unlikely / Redundant,Retain primary canonical file and delete redundant copies.
DUP_6,0996017e91edacf1a384b62ca742c8719ef6105e316cd482585b46913012c61d,2,web_landing/assets/images/logoapp.jpg | assets/images/logoappp.jpg,100% Byte-for-Byte Identical,Unlikely / Redundant,Retain primary canonical file and delete redundant copies.
DUP_7,1ec03705fb900770bb9f62e204591baf6a5a6b4d36fb4549bb80bde45d107a69,4,web_landing/app/assets/category._id-C_9oQqpO.js | web_landing/app/assets/offers-C_9oQqpO.js | web_landing/app/assets/product._slug-C_9oQqpO.js | web_landing/app/assets/routes-C_9oQqpO.js,100% Byte-for-Byte Identical,Unlikely / Redundant,Retain primary canonical file and delete redundant copies.
DUP_8,3dce99077602f70421c1c6b2a240bc9b83d64d86681d45f2154143310c980be3,2,web_landing/app/icons/Icon-192.png | web/icons/Icon-192.png,100% Byte-for-Byte Identical,Unlikely / Redundant,Retain primary canonical file and delete redundant copies.
DUP_9,baccb205ae45f0b421be1657259b4943ac40c95094ab877f3bcbe12cd544dcbe,2,web_landing/app/icons/Icon-512.png | web/icons/Icon-512.png,100% Byte-for-Byte Identical,Unlikely / Redundant,Retain primary canonical file and delete redundant copies.
DUP_10,d2c842e22a9f4ec9d996b23373a905c88d9a203b220c5c151885ad621f974b5c,2,web_landing/app/icons/Icon-maskable-192.png | web/icons/Icon-maskable-192.png,100% Byte-for-Byte Identical,Unlikely / Redundant,Retain primary canonical file and delete redundant copies.
DUP_11,6aee06cdcab6b2aef74b1734c4778f4421d2da100b0ff9e52b21b55240202929,2,web_landing/app/icons/Icon-maskable-512.png | web/icons/Icon-maskable-512.png,100% Byte-for-Byte Identical,Unlikely / Redundant,Retain primary canonical file and delete redundant copies.
DUP_12,263808580c4e8b9117144fd144a2e63ab775eb0a66ce3285c3a7fe76841650a2,2,web_landing/app/assets/lib/services/data/mock_tiktok_trends.json | lib/services/data/mock_tiktok_trends.json,100% Byte-for-Byte Identical,Unlikely / Redundant,Retain primary canonical file and delete redundant copies.
DUP_13,664e3dc2424024aa10cd9cee07be46601cba2aa30d29ffa1ae3f7e0d79b5b49b,2,web_landing/app/assets/assets/fonts/IBMPlexSansArabic-Bold.ttf | assets/fonts/IBMPlexSansArabic-Bold.ttf,100% Byte-for-Byte Identical,Unlikely / Redundant,Retain primary canonical file and delete redundant copies.
DUP_14,c1e417e69127a2d202205658b05fd49fa6c07f20c6312374dd716d39c7861f4a,2,web_landing/app/assets/assets/fonts/IBMPlexSansArabic-ExtraLight.ttf | assets/fonts/IBMPlexSansArabic-ExtraLight.ttf,100% Byte-for-Byte Identical,Unlikely / Redundant,Retain primary canonical file and delete redundant copies.
DUP_15,e7e4d767fc2694e0d0d548bd1c2c4c92a6beed06fe645fe628ff19a8443ecbdd,2,web_landing/app/assets/assets/fonts/IBMPlexSansArabic-Light.ttf | assets/fonts/IBMPlexSansArabic-Light.ttf,100% Byte-for-Byte Identical,Unlikely / Redundant,Retain primary canonical file and delete redundant copies.
DUP_16,9de4e0fa5a0b8574e6fe2f291efee21703e184bcb56dd5bfeb5dd06cacb808f2,2,web_landing/app/assets/assets/fonts/IBMPlexSansArabic-Medium.ttf | assets/fonts/IBMPlexSansArabic-Medium.ttf,100% Byte-for-Byte Identical,Unlikely / Redundant,Retain primary canonical file and delete redundant copies.
DUP_17,acfedf95e912ff35eefe6e38ea74a9381b788499d1e8b608b0d5bb9d41445a60,2,web_landing/app/assets/assets/fonts/IBMPlexSansArabic-Regular.ttf | assets/fonts/IBMPlexSansArabic-Regular.ttf,100% Byte-for-Byte Identical,Unlikely / Redundant,Retain primary canonical file and delete redundant copies.
DUP_18,62c93685cff98e965d584fb3438f20af6edd6714b823c0a8c63b47fd586d99a6,2,web_landing/app/assets/assets/fonts/IBMPlexSansArabic-SemiBold.ttf | assets/fonts/IBMPlexSansArabic-SemiBold.ttf,100% Byte-for-Byte Identical,Unlikely / Redundant,Retain primary canonical file and delete redundant copies.
DUP_19,0c81b1a08fc5d44563b92c40925122894bf686e15f34cf3a41a9358c674fe830,2,web_landing/app/assets/assets/fonts/IBMPlexSansArabic-Thin.ttf | assets/fonts/IBMPlexSansArabic-Thin.ttf,100% Byte-for-Byte Identical,Unlikely / Redundant,Retain primary canonical file and delete redundant copies.
DUP_20,ed2711b387750ae991b6a980b8dd16fdd65e6702b97e9f52adf3a8edf09ef4df,2,web_landing/app/assets/assets/fonts/NotoSansArabic-Bold.ttf | assets/fonts/NotoSansArabic-Bold.ttf,100% Byte-for-Byte Identical,Unlikely / Redundant,Retain primary canonical file and delete redundant copies.
DUP_21,ceea25b464a656dc3b26849bab9356740401af62aedf1bfa8b7f0d9b75925b1b,2,web_landing/app/assets/assets/fonts/NotoSansArabic-Regular.ttf | assets/fonts/NotoSansArabic-Regular.ttf,100% Byte-for-Byte Identical,Unlikely / Redundant,Retain primary canonical file and delete redundant copies.
DUP_22,0fc74640fdcd67c036e1fced58d7e4478897a333cd92b981115a3e324337577f,2,web_landing/app/assets/assets/fonts/OFL.txt | assets/fonts/OFL.txt,100% Byte-for-Byte Identical,Unlikely / Redundant,Retain primary canonical file and delete redundant copies.
DUP_23,a8717ecaa12cf6e66818347a6ff44298efa66ed02e79563f62454d92d172f3ef,2,web_landing/app/assets/assets/images/styles/cinematic.png | assets/images/styles/cinematic.png,100% Byte-for-Byte Identical,Unlikely / Redundant,Retain primary canonical file and delete redundant copies.
DUP_24,815823be9c645355e868bdd653e27a2d4b05361c9e7da47f1d9cbfb1d3366c99,2,web_landing/app/assets/assets/images/styles/kitchen.png | assets/images/styles/kitchen.png,100% Byte-for-Byte Identical,Unlikely / Redundant,Retain primary canonical file and delete redundant copies.
DUP_25,680c88ed2b0a1c72404553ce77b7bbdea7e58a599b07d296dd7e21d5fef8d37e,2,web_landing/app/assets/assets/images/styles/logoapp.jpeg | assets/images/styles/logoapp.jpeg,100% Byte-for-Byte Identical,Unlikely / Redundant,Retain primary canonical file and delete redundant copies.
DUP_26,551b26d299f3d32f279ef54035f136f5a8f68a84f3a5e0d0a664f26e70a8e942,2,web_landing/app/assets/assets/images/styles/luxury.png | assets/images/styles/luxury.png,100% Byte-for-Byte Identical,Unlikely / Redundant,Retain primary canonical file and delete redundant copies.
DUP_27,3a3e2bf9b94b6da1276af2a7aa05b22058296ce61ca76142dcdadcd06897c069,2,web_landing/app/assets/assets/images/styles/minimal.png | assets/images/styles/minimal.png,100% Byte-for-Byte Identical,Unlikely / Redundant,Retain primary canonical file and delete redundant copies.
DUP_28,bcd2949a3104e0edc68c38e4f7e86b97220fa6fc0518efe918e7a3c7dccc5ba9,2,web_landing/app/assets/assets/images/styles/nature.png | assets/images/styles/nature.png,100% Byte-for-Byte Identical,Unlikely / Redundant,Retain primary canonical file and delete redundant copies.
DUP_29,847eefe7ca1edb114b3342d439c8de2466c8e55b172b5c7f658c724e2548b305,2,web_landing/app/assets/assets/images/styles/neon.png | assets/images/styles/neon.png,100% Byte-for-Byte Identical,Unlikely / Redundant,Retain primary canonical file and delete redundant copies.
DUP_30,90db1933fe6c5457b00ba86d197bb4ede4d155a750202dab89a1cf3ed7f76338,2,web_landing/app/assets/assets/images/styles/WhatsApp%20Image%202026-03-28%20at%209.14.03%20PM.jpeg | assets/images/styles/WhatsApp Image 2026-03-28 at 9.14.03 PM.jpeg,100% Byte-for-Byte Identical,Unlikely / Redundant,Retain primary canonical file and delete redundant copies.
DUP_31,7e9b3ee3961b7d7718b418ceaed812a5f06a4e4cec894aae712a78e159c32ab0,2,macos/Flutter/Flutter-Debug.xcconfig | macos/Flutter/Flutter-Release.xcconfig,100% Byte-for-Byte Identical,Unlikely / Redundant,Retain primary canonical file and delete redundant copies.
DUP_32,706a4c812f2a1e220e6785c27580020d58048e2ae4d30d1280f3c43344ce6b38,2,macos/Runner.xcworkspace/contents.xcworkspacedata | ios/Runner.xcworkspace/contents.xcworkspacedata,100% Byte-for-Byte Identical,Unlikely / Redundant,Retain primary canonical file and delete redundant copies.
DUP_33,d557c2c32fc6258ec28981fa45dc847b76c9968beb90a2e26d13ef9c4ea45c30,4,macos/Runner.xcworkspace/xcshareddata/IDEWorkspaceChecks.plist | macos/Runner.xcodeproj/project.xcworkspace/xcshareddata/IDEWorkspaceChecks.plist | ios/Runner.xcworkspace/xcshareddata/IDEWorkspaceChecks.plist | ios/Runner.xcodeproj/project.xcworkspace/xcshareddata/IDEWorkspaceChecks.plist,100% Byte-for-Byte Identical,Unlikely / Redundant,Retain primary canonical file and delete redundant copies.
DUP_34,c0d1da54718e75f2028962b689258ecc741abf7cdaed50483aa5225264d0a7d7,2,ios/Flutter/Debug.xcconfig | ios/Flutter/Release.xcconfig,100% Byte-for-Byte Identical,Unlikely / Redundant,Retain primary canonical file and delete redundant copies.
DUP_35,dd64c0308ab2971c456871b990b24a008bdc3ece09833e8dbe9675e33a496e74,2,ios/Runner.xcworkspace/xcshareddata/WorkspaceSettings.xcsettings | ios/Runner.xcodeproj/project.xcworkspace/xcshareddata/WorkspaceSettings.xcsettings,100% Byte-for-Byte Identical,Unlikely / Redundant,Retain primary canonical file and delete redundant copies.
DUP_36,daf36f1db2baaa10df99b26afb625bae7a4fb0d841a0737b6e45c2e0af5fa336,2,ios/Runner/Assets.xcassets/AppIcon.appiconset/Icon-App-20x20@2x.png | ios/Runner/Assets.xcassets/AppIcon.appiconset/Icon-App-40x40@1x.png,100% Byte-for-Byte Identical,Unlikely / Redundant,Retain primary canonical file and delete redundant copies.
DUP_37,1713f50602f283be11f241acdfaa8a30e78f7659c42a17b09861db91f03147c5,2,ios/Runner/Assets.xcassets/AppIcon.appiconset/Icon-App-40x40@3x.png | ios/Runner/Assets.xcassets/AppIcon.appiconset/Icon-App-60x60@2x.png,100% Byte-for-Byte Identical,Unlikely / Redundant,Retain primary canonical file and delete redundant copies.
DUP_38,aacb01bdeb7d6cd8966cb6697b10ef56303ceb441b71954d20ba5b6dfc15b29a,2,ios/Runner/Assets.xcassets/AppIcon.appiconset/Icon-App-72x72@1x.png | android/app/src/main/res/mipmap-hdpi/ic_launcher.png,100% Byte-for-Byte Identical,Unlikely / Redundant,Retain primary canonical file and delete redundant copies.
DUP_39,ca63dad3da078536988410fc5fdb384c5f9fef4c2f6e0da6895e21bc951e4511,2,ios/Runner/Assets.xcassets/AppIcon.appiconset/Icon-App-72x72@2x.png | android/app/src/main/res/mipmap-xxhdpi/ic_launcher.png,100% Byte-for-Byte Identical,Unlikely / Redundant,Retain primary canonical file and delete redundant copies.
DUP_40,93ae7d494fad0fb30cbf3ae746a39c4bc7a0f8bbf87fbb587a3f3c01f3c5ce20,3,ios/Runner/Assets.xcassets/LaunchImage.imageset/LaunchImage.png | ios/Runner/Assets.xcassets/LaunchImage.imageset/LaunchImage@2x.png | ios/Runner/Assets.xcassets/LaunchImage.imageset/LaunchImage@3x.png,100% Byte-for-Byte Identical,Unlikely / Redundant,Retain primary canonical file and delete redundant copies.
DUP_41,b01a4541a8144c15bc617bab7eb267c99fa1476368fbbda5a12cdbf4e316a34c,2,android/app/src/debug/AndroidManifest.xml | android/app/src/profile/AndroidManifest.xml,100% Byte-for-Byte Identical,Unlikely / Redundant,Retain primary canonical file and delete redundant copies.
DUP_42,1629c3cad7b2c904fbb6860ca607b6df7081f5fa0274b468bf7c8dd873b5644b,27,android/.kotlin/errors/errors-1776865881955.log | android/.kotlin/errors/errors-1776865882132.log | android/.kotlin/errors/errors-1776865882204.log | android/.kotlin/errors/errors-1776865882448.log | android/.kotlin/errors/errors-1776865882537.log | android/.kotlin/errors/errors-1776865882597.log | android/.kotlin/errors/errors-1776865882645.log | android/.kotlin/errors/errors-1776865882775.log | android/.kotlin/errors/errors-1776865882814.log | android/.kotlin/errors/errors-1776865882876.log | android/.kotlin/errors/errors-1776865882967.log | android/.kotlin/errors/errors-1776866694965.log | android/.kotlin/errors/errors-1776866695191.log | android/.kotlin/errors/errors-1776953522824.log | android/.kotlin/errors/errors-1776953855041.log | android/.kotlin/errors/errors-1776956589240.log | android/.kotlin/errors/errors-1776956593060.log | android/.kotlin/errors/errors-1776956593522.log | android/.kotlin/errors/errors-1776956593567.log | android/.kotlin/errors/errors-1776956593604.log | android/.kotlin/errors/errors-1776956593784.log | android/.kotlin/errors/errors-1776956593840.log | android/.kotlin/errors/errors-1776956593911.log | android/.kotlin/errors/errors-1777052907718.log | android/.kotlin/errors/errors-1777390459862.log | android/.kotlin/errors/errors-1777496101976.log | android/.kotlin/errors/errors-1777496105937.log,100% Byte-for-Byte Identical,Unlikely / Redundant,Retain primary canonical file and delete redundant copies.
