file_path,line_count,size_bytes,reason,recommended_split
lib/ai/ai_orchestrator.dart,957,36850,File exceeds 500 lines (957 lines). Single responsibility violated.,"Extract sub-widgets, separate business logic into dedicated controller or service."
lib/ai/chat_smart_agent.dart,803,31488,File exceeds 500 lines (803 lines). Single responsibility violated.,"Extract sub-widgets, separate business logic into dedicated controller or service."
lib/controllers/admin_controller.dart,1194,45641,File exceeds 500 lines (1194 lines). Single responsibility violated.,"Extract sub-widgets, separate business logic into dedicated controller or service."
lib/controllers/auth_controller.dart,1379,51880,File exceeds 500 lines (1379 lines). Single responsibility violated.,"Extract sub-widgets, separate business logic into dedicated controller or service."
lib/controllers/catalog_controller.dart,2059,82354,File exceeds 500 lines (2059 lines). Single responsibility violated.,"Extract sub-widgets, separate business logic into dedicated controller or service."
lib/controllers/settings_controller.dart,937,38510,File exceeds 500 lines (937 lines). Single responsibility violated.,"Extract sub-widgets, separate business logic into dedicated controller or service."
lib/database/database_helper.dart,836,22204,File exceeds 500 lines (836 lines). Single responsibility violated.,"Extract sub-widgets, separate business logic into dedicated controller or service."
lib/models/catalog_product_model.dart,753,31976,File exceeds 500 lines (753 lines). Single responsibility violated.,"Extract sub-widgets, separate business logic into dedicated controller or service."
lib/screens/admin_dashboard_screen.dart,3323,137640,File exceeds 500 lines (3323 lines). Single responsibility violated.,"Extract sub-widgets, separate business logic into dedicated controller or service."
lib/screens/creator_profile_screen.dart,552,19917,File exceeds 500 lines (552 lines). Single responsibility violated.,"Extract sub-widgets, separate business logic into dedicated controller or service."
lib/screens/general_settings_screen.dart,522,23022,File exceeds 500 lines (522 lines). Single responsibility violated.,"Extract sub-widgets, separate business logic into dedicated controller or service."
lib/screens/product_photography_screen.dart,997,41286,File exceeds 500 lines (997 lines). Single responsibility violated.,"Extract sub-widgets, separate business logic into dedicated controller or service."
lib/screens/settings_screen.dart,2677,109788,File exceeds 500 lines (2677 lines). Single responsibility violated.,"Extract sub-widgets, separate business logic into dedicated controller or service."
lib/screens/subscription_screen.dart,522,18473,File exceeds 500 lines (522 lines). Single responsibility violated.,"Extract sub-widgets, separate business logic into dedicated controller or service."
lib/services/ai_backend_router.dart,912,33730,File exceeds 500 lines (912 lines). Single responsibility violated.,"Extract sub-widgets, separate business logic into dedicated controller or service."
lib/services/ai_image_generation_service.dart,1114,42814,File exceeds 500 lines (1114 lines). Single responsibility violated.,"Extract sub-widgets, separate business logic into dedicated controller or service."
lib/services/ai_provider.dart,729,26283,File exceeds 500 lines (729 lines). Single responsibility violated.,"Extract sub-widgets, separate business logic into dedicated controller or service."
lib/services/back4app_gateway_service.dart,634,23046,File exceeds 500 lines (634 lines). Single responsibility violated.,"Extract sub-widgets, separate business logic into dedicated controller or service."
lib/services/db_service.dart,704,28165,File exceeds 500 lines (704 lines). Single responsibility violated.,"Extract sub-widgets, separate business logic into dedicated controller or service."
lib/services/gemini_service.dart,695,26505,File exceeds 500 lines (695 lines). Single responsibility violated.,"Extract sub-widgets, separate business logic into dedicated controller or service."
lib/services/product_photography_service.dart,641,27573,File exceeds 500 lines (641 lines). Single responsibility violated.,"Extract sub-widgets, separate business logic into dedicated controller or service."
lib/services/serpapi_services.dart,563,20815,File exceeds 500 lines (563 lines). Single responsibility violated.,"Extract sub-widgets, separate business logic into dedicated controller or service."
lib/services/tiktok_account_service.dart,528,18238,File exceeds 500 lines (528 lines). Single responsibility violated.,"Extract sub-widgets, separate business logic into dedicated controller or service."
lib/services/tiktok_service.dart,749,26407,File exceeds 500 lines (749 lines). Single responsibility violated.,"Extract sub-widgets, separate business logic into dedicated controller or service."
lib/services/unified_ai_service.dart,831,36217,File exceeds 500 lines (831 lines). Single responsibility violated.,"Extract sub-widgets, separate business logic into dedicated controller or service."
lib/widgets/chat_bubble.dart,1411,51998,File exceeds 500 lines (1411 lines). Single responsibility violated.,"Extract sub-widgets, separate business logic into dedicated controller or service."
lib/widgets/chat_drawer.dart,685,26588,File exceeds 500 lines (685 lines). Single responsibility violated.,"Extract sub-widgets, separate business logic into dedicated controller or service."
lib/widgets/modern_video_bubble.dart,935,32328,File exceeds 500 lines (935 lines). Single responsibility violated.,"Extract sub-widgets, separate business logic into dedicated controller or service."
lib/widgets/standard_provider_form.dart,660,27564,File exceeds 500 lines (660 lines). Single responsibility violated.,"Extract sub-widgets, separate business logic into dedicated controller or service."
lib/widgets/chat/chat_input_area.dart,811,30415,File exceeds 500 lines (811 lines). Single responsibility violated.,"Extract sub-widgets, separate business logic into dedicated controller or service."
lib/services/ai/intent_classifier_service.dart,583,18929,File exceeds 500 lines (583 lines). Single responsibility violated.,"Extract sub-widgets, separate business logic into dedicated controller or service."
lib/screens/admin/users_list_screen.dart,723,32583,File exceeds 500 lines (723 lines). Single responsibility violated.,"Extract sub-widgets, separate business logic into dedicated controller or service."
lib/screens/catalog/product_catalog_screen.dart,3263,151630,File exceeds 500 lines (3263 lines). Single responsibility violated.,"Extract sub-widgets, separate business logic into dedicated controller or service."
lib/screens/catalog/product_form_screen.dart,2363,98961,File exceeds 500 lines (2363 lines). Single responsibility violated.,"Extract sub-widgets, separate business logic into dedicated controller or service."
lib/screens/catalog/whatsapp/whatsapp_media_sync_screen.dart,686,28976,File exceeds 500 lines (686 lines). Single responsibility violated.,"Extract sub-widgets, separate business logic into dedicated controller or service."
