finding_id,severity,confidence,status,category,title,description,evidence,file,start_line,end_line,affected_flow,user_impact,technical_impact,recommended_fix,verification_method,dependencies,risk_of_fix
ISSUE_DUP_1,MEDIUM,CERTAIN,DUPLICATE,File Redundancy,Byte-for-byte duplicate files (5 copies),"Exact duplicate files detected: app_check_debug.txt, web_landing/app/assets/assets/images/background.jpg, assets/images/background.jpg, android/.gradle/8.14.5/gc.properties, android/.gradle/vcs-1/gc.properties",Matching SHA-256 hash e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,app_check_debug.txt,1,1,Build system and asset bundle size,Unnecessary APK bloat.,Maintenance confusion and multiple source of truths.,Consolidate duplicate files into a single reference.,File hash verification.,Imports update,Low
ISSUE_DUP_2,MEDIUM,CERTAIN,DUPLICATE,File Redundancy,Byte-for-byte duplicate files (2 copies),"Exact duplicate files detected: shorebird.yaml, web_landing/app/assets/shorebird.yaml",Matching SHA-256 hash fd1ffd12dc59720e3aa576e354eff6204beb5160cfaba756a7b29d77cc62d2f3,shorebird.yaml,1,1,Build system and asset bundle size,Unnecessary APK bloat.,Maintenance confusion and multiple source of truths.,Consolidate duplicate files into a single reference.,File hash verification.,Imports update,Low
ISSUE_DUP_3,MEDIUM,CERTAIN,DUPLICATE,File Redundancy,Byte-for-byte duplicate files (2 copies),"Exact duplicate files detected: web/favicon.png, web_landing/app/favicon.png",Matching SHA-256 hash 7ab2525f4b86b65d3e4c70358a17e5a1aaf6f437f99cbcc046dad73d59bb9015,web/favicon.png,1,1,Build system and asset bundle size,Unnecessary APK bloat.,Maintenance confusion and multiple source of truths.,Consolidate duplicate files into a single reference.,File hash verification.,Imports update,Low
ISSUE_DUP_4,MEDIUM,CERTAIN,DUPLICATE,File Redundancy,Byte-for-byte duplicate files (2 copies),"Exact duplicate files detected: web/manifest.json, web_landing/app/manifest.json",Matching SHA-256 hash 78ca60e6cf98180fcf8838cf521ed69221521c8b9706af4eb26e35a7a0f4a727,web/manifest.json,1,1,Build system and asset bundle size,Unnecessary APK bloat.,Maintenance confusion and multiple source of truths.,Consolidate duplicate files into a single reference.,File hash verification.,Imports update,Low
ISSUE_DUP_5,MEDIUM,CERTAIN,DUPLICATE,File Redundancy,Byte-for-byte duplicate files (2 copies),"Exact duplicate files detected: web_landing/tiktok-developers-site-verification.txt, web_landing/tiktokdKN2PnIaTP3N0tUYZLP5v52z1631giK7.txt",Matching SHA-256 hash 181b81b70f67e2f3f20dedc8a3969d9ce7466194d1e6ba85b0e590ed35f6e4f4,web_landing/tiktok-developers-site-verification.txt,1,1,Build system and asset bundle size,Unnecessary APK bloat.,Maintenance confusion and multiple source of truths.,Consolidate duplicate files into a single reference.,File hash verification.,Imports update,Low
ISSUE_DUP_6,MEDIUM,CERTAIN,DUPLICATE,File Redundancy,Byte-for-byte duplicate files (2 copies),"Exact duplicate files detected: web_landing/assets/images/logoapp.jpg, assets/images/logoappp.jpg",Matching SHA-256 hash 0996017e91edacf1a384b62ca742c8719ef6105e316cd482585b46913012c61d,web_landing/assets/images/logoapp.jpg,1,1,Build system and asset bundle size,Unnecessary APK bloat.,Maintenance confusion and multiple source of truths.,Consolidate duplicate files into a single reference.,File hash verification.,Imports update,Low
ISSUE_DUP_7,MEDIUM,CERTAIN,DUPLICATE,File Redundancy,Byte-for-byte duplicate files (4 copies),"Exact duplicate files detected: web_landing/app/assets/category._id-C_9oQqpO.js, web_landing/app/assets/offers-C_9oQqpO.js, web_landing/app/assets/product._slug-C_9oQqpO.js, web_landing/app/assets/routes-C_9oQqpO.js",Matching SHA-256 hash 1ec03705fb900770bb9f62e204591baf6a5a6b4d36fb4549bb80bde45d107a69,web_landing/app/assets/category._id-C_9oQqpO.js,1,1,Build system and asset bundle size,Unnecessary APK bloat.,Maintenance confusion and multiple source of truths.,Consolidate duplicate files into a single reference.,File hash verification.,Imports update,Low
ISSUE_DUP_8,MEDIUM,CERTAIN,DUPLICATE,File Redundancy,Byte-for-byte duplicate files (2 copies),"Exact duplicate files detected: web_landing/app/icons/Icon-192.png, web/icons/Icon-192.png",Matching SHA-256 hash 3dce99077602f70421c1c6b2a240bc9b83d64d86681d45f2154143310c980be3,web_landing/app/icons/Icon-192.png,1,1,Build system and asset bundle size,Unnecessary APK bloat.,Maintenance confusion and multiple source of truths.,Consolidate duplicate files into a single reference.,File hash verification.,Imports update,Low
ISSUE_DUP_9,MEDIUM,CERTAIN,DUPLICATE,File Redundancy,Byte-for-byte duplicate files (2 copies),"Exact duplicate files detected: web_landing/app/icons/Icon-512.png, web/icons/Icon-512.png",Matching SHA-256 hash baccb205ae45f0b421be1657259b4943ac40c95094ab877f3bcbe12cd544dcbe,web_landing/app/icons/Icon-512.png,1,1,Build system and asset bundle size,Unnecessary APK bloat.,Maintenance confusion and multiple source of truths.,Consolidate duplicate files into a single reference.,File hash verification.,Imports update,Low
ISSUE_DUP_10,MEDIUM,CERTAIN,DUPLICATE,File Redundancy,Byte-for-byte duplicate files (2 copies),"Exact duplicate files detected: web_landing/app/icons/Icon-maskable-192.png, web/icons/Icon-maskable-192.png",Matching SHA-256 hash d2c842e22a9f4ec9d996b23373a905c88d9a203b220c5c151885ad621f974b5c,web_landing/app/icons/Icon-maskable-192.png,1,1,Build system and asset bundle size,Unnecessary APK bloat.,Maintenance confusion and multiple source of truths.,Consolidate duplicate files into a single reference.,File hash verification.,Imports update,Low
