file_path,total_lines,reviewed_range,coverage_percent,review_status,notes
integration_test/ai_orchestrator_integration_test.dart,30,1-30,100%,STATICALLY_VALIDATED,Full regex & semantic AST scan completed.
integration_test/app_test.dart,54,1-54,100%,STATICALLY_VALIDATED,Full regex & semantic AST scan completed.
integration_test/manus_live_verification_test.dart,137,1-137,100%,STATICALLY_VALIDATED,Full regex & semantic AST scan completed.
integration_test/wave1a_live_verification_test.dart,159,1-159,100%,STATICALLY_VALIDATED,Full regex & semantic AST scan completed.
lib/config.dart,15,1-15,100%,STATICALLY_VALIDATED,Full regex & semantic AST scan completed.
lib/main.dart,243,1-243,100%,STATICALLY_VALIDATED,Full regex & semantic AST scan completed.
scratch/inspect_excel.dart,285,1-285,100%,STATICALLY_VALIDATED,Full regex & semantic AST scan completed.
test/ai_backend_router_test.dart,257,1-257,100%,STATICALLY_VALIDATED,Full regex & semantic AST scan completed.
test/catalog_dual_read_verification_test.dart,85,1-85,100%,STATICALLY_VALIDATED,Full regex & semantic AST scan completed.
test/catalog_excel_parser_test.dart,86,1-86,100%,STATICALLY_VALIDATED,Full regex & semantic AST scan completed.
test/catalog_xlsx_import_service_test.dart,36,1-36,100%,STATICALLY_VALIDATED,Full regex & semantic AST scan completed.
test/chinese_platform_query_test.dart,58,1-58,100%,STATICALLY_VALIDATED,Full regex & semantic AST scan completed.
test/controlled_dual_write_test.dart,478,1-478,100%,STATICALLY_VALIDATED,Full regex & semantic AST scan completed.
test/deterministic_router_test.dart,139,1-139,100%,STATICALLY_VALIDATED,Full regex & semantic AST scan completed.
test/firebase_prompt_wave1a_test.dart,168,1-168,100%,STATICALLY_VALIDATED,Full regex & semantic AST scan completed.
test/live_dual_read_runner_test.dart,113,1-113,100%,STATICALLY_VALIDATED,Full regex & semantic AST scan completed.
test/manus_ai_provider_test.dart,203,1-203,100%,STATICALLY_VALIDATED,Full regex & semantic AST scan completed.
test/media_audit.dart,62,1-62,100%,STATICALLY_VALIDATED,Full regex & semantic AST scan completed.
test/verify_llava.dart,18,1-18,100%,STATICALLY_VALIDATED,Full regex & semantic AST scan completed.
test/whatsapp_sync_contract_test.dart,183,1-183,100%,STATICALLY_VALIDATED,Full regex & semantic AST scan completed.
test/widget_test.dart,8,1-8,100%,STATICALLY_VALIDATED,Full regex & semantic AST scan completed.
test/core/utils/result_test.dart,157,1-157,100%,STATICALLY_VALIDATED,Full regex & semantic AST scan completed.
lib/ai/ai_decision_engine.dart,271,1-271,100%,STATICALLY_VALIDATED,Full regex & semantic AST scan completed.
lib/ai/ai_orchestrator.dart,957,1-957,100%,STATICALLY_VALIDATED,Full regex & semantic AST scan completed.
lib/ai/chat_smart_agent.dart,803,1-803,100%,STATICALLY_VALIDATED,Full regex & semantic AST scan completed.
lib/ai/chat_task_distributor.dart,208,1-208,100%,STATICALLY_VALIDATED,Full regex & semantic AST scan completed.
lib/controllers/admin_controller.dart,1194,1-1194,100%,STATICALLY_VALIDATED,Full regex & semantic AST scan completed.
lib/controllers/api_controller.dart,305,1-305,100%,STATICALLY_VALIDATED,Full regex & semantic AST scan completed.
lib/controllers/auth_controller.dart,1379,1-1379,100%,STATICALLY_VALIDATED,Full regex & semantic AST scan completed.
lib/controllers/catalog_controller.dart,2059,1-2059,100%,STATICALLY_VALIDATED,Full regex & semantic AST scan completed.
lib/controllers/chat_history_controller.dart,221,1-221,100%,STATICALLY_VALIDATED,Full regex & semantic AST scan completed.
lib/controllers/home_controller.dart,132,1-132,100%,STATICALLY_VALIDATED,Full regex & semantic AST scan completed.
lib/controllers/home_dashboard_controller.dart,101,1-101,100%,STATICALLY_VALIDATED,Full regex & semantic AST scan completed.
lib/controllers/marketing_share_controller.dart,109,1-109,100%,STATICALLY_VALIDATED,Full regex & semantic AST scan completed.
lib/controllers/navigation_controller.dart,69,1-69,100%,STATICALLY_VALIDATED,Full regex & semantic AST scan completed.
lib/controllers/permissions_controller.dart,215,1-215,100%,STATICALLY_VALIDATED,Full regex & semantic AST scan completed.
lib/controllers/settings_controller.dart,937,1-937,100%,STATICALLY_VALIDATED,Full regex & semantic AST scan completed.
lib/controllers/social_profile_controller.dart,45,1-45,100%,STATICALLY_VALIDATED,Full regex & semantic AST scan completed.
lib/controllers/theme_controller.dart,31,1-31,100%,STATICALLY_VALIDATED,Full regex & semantic AST scan completed.
lib/controllers/trend_controller.dart,99,1-99,100%,STATICALLY_VALIDATED,Full regex & semantic AST scan completed.
lib/controllers/whatsapp_sync_controller.dart,156,1-156,100%,STATICALLY_VALIDATED,Full regex & semantic AST scan completed.
lib/database/database_helper.dart,836,1-836,100%,STATICALLY_VALIDATED,Full regex & semantic AST scan completed.
lib/models/api_key_model.dart,74,1-74,100%,STATICALLY_VALIDATED,Full regex & semantic AST scan completed.
lib/models/brand_identity_model.dart,81,1-81,100%,STATICALLY_VALIDATED,Full regex & semantic AST scan completed.
lib/models/brand_info.dart,22,1-22,100%,STATICALLY_VALIDATED,Full regex & semantic AST scan completed.
lib/models/catalog_category_model.dart,63,1-63,100%,STATICALLY_VALIDATED,Full regex & semantic AST scan completed.
lib/models/catalog_media_model.dart,136,1-136,100%,STATICALLY_VALIDATED,Full regex & semantic AST scan completed.
lib/models/catalog_product_model.dart,753,1-753,100%,STATICALLY_VALIDATED,Full regex & semantic AST scan completed.
lib/models/content_model.dart,90,1-90,100%,STATICALLY_VALIDATED,Full regex & semantic AST scan completed.
lib/models/log_model.dart,63,1-63,100%,STATICALLY_VALIDATED,Full regex & semantic AST scan completed.
lib/models/media_model.dart,63,1-63,100%,STATICALLY_VALIDATED,Full regex & semantic AST scan completed.
lib/models/product_memory_model.dart,103,1-103,100%,STATICALLY_VALIDATED,Full regex & semantic AST scan completed.
lib/models/product_photo_models.dart,243,1-243,100%,STATICALLY_VALIDATED,Full regex & semantic AST scan completed.
lib/models/setting_model.dart,63,1-63,100%,STATICALLY_VALIDATED,Full regex & semantic AST scan completed.
lib/models/user_activity.dart,43,1-43,100%,STATICALLY_VALIDATED,Full regex & semantic AST scan completed.
lib/models/user_model.dart,97,1-97,100%,STATICALLY_VALIDATED,Full regex & semantic AST scan completed.
lib/models/video_composition.dart,95,1-95,100%,STATICALLY_VALIDATED,Full regex & semantic AST scan completed.
lib/models/whatsapp_sync_models.dart,267,1-267,100%,STATICALLY_VALIDATED,Full regex & semantic AST scan completed.
lib/screens/admin_dashboard_screen.dart,3323,1-3323,100%,STATICALLY_VALIDATED,Full regex & semantic AST scan completed.
lib/screens/ai_chat_screen.dart,457,1-457,100%,STATICALLY_VALIDATED,Full regex & semantic AST scan completed.
lib/screens/brand_settings_screen.dart,242,1-242,100%,STATICALLY_VALIDATED,Full regex & semantic AST scan completed.
lib/screens/creator_profile_screen.dart,552,1-552,100%,STATICALLY_VALIDATED,Full regex & semantic AST scan completed.
lib/screens/general_settings_screen.dart,522,1-522,100%,STATICALLY_VALIDATED,Full regex & semantic AST scan completed.
lib/screens/main_wrapper.dart,36,1-36,100%,STATICALLY_VALIDATED,Full regex & semantic AST scan completed.
lib/screens/privacy_policy_screen.dart,119,1-119,100%,STATICALLY_VALIDATED,Full regex & semantic AST scan completed.
lib/screens/product_photography_screen.dart,997,1-997,100%,STATICALLY_VALIDATED,Full regex & semantic AST scan completed.
lib/screens/settings_screen.dart,2677,1-2677,100%,STATICALLY_VALIDATED,Full regex & semantic AST scan completed.
lib/screens/splash_screen.dart,244,1-244,100%,STATICALLY_VALIDATED,Full regex & semantic AST scan completed.
lib/screens/subscription_screen.dart,522,1-522,100%,STATICALLY_VALIDATED,Full regex & semantic AST scan completed.
lib/screens/terms_of_service_screen.dart,115,1-115,100%,STATICALLY_VALIDATED,Full regex & semantic AST scan completed.
lib/services/activity_log_service.dart,40,1-40,100%,STATICALLY_VALIDATED,Full regex & semantic AST scan completed.
lib/services/activity_tracking_service.dart,166,1-166,100%,STATICALLY_VALIDATED,Full regex & semantic AST scan completed.
lib/services/ai_backend_router.dart,912,1-912,100%,STATICALLY_VALIDATED,Full regex & semantic AST scan completed.
lib/services/ai_image_generation_service.dart,1114,1-1114,100%,STATICALLY_VALIDATED,Full regex & semantic AST scan completed.
lib/services/ai_provider.dart,729,1-729,100%,STATICALLY_VALIDATED,Full regex & semantic AST scan completed.
