item_id,category,name,file,line,discovery_state
NET_CALL_1,Network/Storage,Firebase Auth @ L30,integration_test/manus_live_verification_test.dart,30,AUDITED
NET_CALL_2,Network/Storage,Firebase Auth @ L33,integration_test/manus_live_verification_test.dart,33,AUDITED
NET_CALL_3,Network/Storage,HTTP @ L65,integration_test/manus_live_verification_test.dart,65,AUDITED
NET_CALL_4,Network/Storage,App Check @ L33,integration_test/wave1a_live_verification_test.dart,33,AUDITED
SYM_5,Class,Config,lib/config.dart,2,AUDITED
NET_CALL_6,Network/Storage,Firestore @ L81,lib/main.dart,81,AUDITED
NET_CALL_7,Network/Storage,App Check @ L92,lib/main.dart,92,AUDITED
SYM_8,Class,SmartContentCreatorApp,lib/main.dart,128,AUDITED
SYM_9,Class,CatalogXlsxImportResult,scratch/inspect_excel.dart,9,AUDITED
SYM_10,Class,CatalogXlsxImportService,scratch/inspect_excel.dart,25,AUDITED
SYM_11,Class,MockFirebaseAiLogicService,test/ai_backend_router_test.dart,9,AUDITED
SYM_12,Class,MockBack4AppGatewayService,test/ai_backend_router_test.dart,52,AUDITED
SYM_13,Class,TestableAIBackendRouter,test/ai_backend_router_test.dart,77,AUDITED
SYM_14,Class,MockBack4AppCatalogRepository,test/catalog_dual_read_verification_test.dart,7,AUDITED
SYM_15,Class,Back4AppExclusiveMockRepository,test/controlled_dual_write_test.dart,11,AUDITED
SYM_16,Class,MockLocalCache,test/controlled_dual_write_test.dart,127,AUDITED
NET_CALL_17,Network/Storage,HTTP @ L46,test/live_dual_read_runner_test.dart,46,AUDITED
NET_CALL_18,Network/Storage,HTTP @ L68,test/live_dual_read_runner_test.dart,68,AUDITED
SYM_19,Class,AiDecisionEngine,lib/ai/ai_decision_engine.dart,11,AUDITED
SYM_20,Class,AIOrchestrator,lib/ai/ai_orchestrator.dart,33,AUDITED
SYM_21,Class,ChatSmartAgent,lib/ai/chat_smart_agent.dart,44,AUDITED
SYM_22,Class,ChatTaskDistributor,lib/ai/chat_task_distributor.dart,11,AUDITED
SYM_23,Class,AdminController,lib/controllers/admin_controller.dart,15,AUDITED
NET_CALL_24,Network/Storage,Firestore @ L192,lib/controllers/admin_controller.dart,192,AUDITED
NET_CALL_25,Network/Storage,Firestore @ L224,lib/controllers/admin_controller.dart,224,AUDITED
UI_CTL_26,UIControl,TextButton @ L278,lib/controllers/admin_controller.dart,278,AUDITED
NET_CALL_27,Network/Storage,Firestore @ L336,lib/controllers/admin_controller.dart,336,AUDITED
NET_CALL_28,Network/Storage,Firestore @ L499,lib/controllers/admin_controller.dart,499,AUDITED
NET_CALL_29,Network/Storage,Firestore @ L702,lib/controllers/admin_controller.dart,702,AUDITED
NET_CALL_30,Network/Storage,Firestore @ L907,lib/controllers/admin_controller.dart,907,AUDITED
NET_CALL_31,Network/Storage,Firestore @ L936,lib/controllers/admin_controller.dart,936,AUDITED
NET_CALL_32,Network/Storage,Firestore @ L984,lib/controllers/admin_controller.dart,984,AUDITED
SYM_33,Class,ApiController,lib/controllers/api_controller.dart,16,AUDITED
SYM_34,Class,AuthController,lib/controllers/auth_controller.dart,25,AUDITED
NET_CALL_35,Network/Storage,Firebase Auth @ L106,lib/controllers/auth_controller.dart,106,AUDITED
UI_CTL_36,UIControl,TextField @ L315,lib/controllers/auth_controller.dart,315,AUDITED
UI_CTL_37,UIControl,ElevatedButton @ L324,lib/controllers/auth_controller.dart,324,AUDITED
NET_CALL_38,Network/Storage,Firebase Auth @ L368,lib/controllers/auth_controller.dart,368,AUDITED
NET_CALL_39,Network/Storage,Firebase Auth @ L683,lib/controllers/auth_controller.dart,683,AUDITED
NET_CALL_40,Network/Storage,Firestore @ L1077,lib/controllers/auth_controller.dart,1077,AUDITED
NET_CALL_41,Network/Storage,Firestore @ L1170,lib/controllers/auth_controller.dart,1170,AUDITED
NET_CALL_42,Network/Storage,Firestore @ L1191,lib/controllers/auth_controller.dart,1191,AUDITED
SYM_43,Class,CatalogController,lib/controllers/catalog_controller.dart,33,AUDITED
NET_CALL_44,Network/Storage,Firebase Auth @ L561,lib/controllers/catalog_controller.dart,561,AUDITED
UI_CTL_45,UIControl,InkWell @ L1468,lib/controllers/catalog_controller.dart,1468,AUDITED
UI_CTL_46,UIControl,InkWell @ L1530,lib/controllers/catalog_controller.dart,1530,AUDITED
SYM_47,Class,ChatHistoryController,lib/controllers/chat_history_controller.dart,8,AUDITED
SYM_48,Class,HomeController,lib/controllers/home_controller.dart,12,AUDITED
