screen_or_class,file,line,control_type,visible_text,visible_icon,callback,function,enable_disable,input_validation,loading_state,success_state,error_state,empty_state,repeat_press_guard,idempotent,duplicate_send_risk,duplicate_control,empty_or_placeholder_callback,reachable,verification_status
ContentPlanWidget,lib/ai/ui/content_plan_widget.dart,116,IconButton,,copy_rounded,onPressed=() {,راجع callback عند file:line,not statically proven,manual/unknown,not proven,present,not proven,not proven,not proven,NEEDS_RUNTIME_TEST,NEEDS_RUNTIME_TEST,not proven,no static evidence,statically reachable/unknown,STATICALLY_VALID
ContentPlanWidget,lib/ai/ui/content_plan_widget.dart,196,ElevatedButton,,,onPressed=() {,راجع callback عند file:line,not statically proven,manual/unknown,not proven,not proven,not proven,not proven,not proven,NEEDS_RUNTIME_TEST,NEEDS_RUNTIME_TEST,not proven,no static evidence,statically reachable/unknown,STATICALLY_VALID
ResearchResultWidget,lib/ai/ui/expert_research_widget.dart,336,InkWell,,open_in_new_rounded,onTap=() => _launchUrl(link),راجع callback عند file:line,not statically proven,manual/unknown,not proven,not proven,not proven,not proven,not proven,NEEDS_RUNTIME_TEST,NEEDS_RUNTIME_TEST,not proven,no static evidence,statically reachable/unknown,STATICALLY_VALID
ResearchResultWidget,lib/ai/ui/expert_research_widget.dart,382,OutlinedButton,,,onPressed=() {,راجع callback عند file:line,not statically proven,manual/unknown,not proven,not proven,not proven,not proven,not proven,NEEDS_RUNTIME_TEST,NEEDS_RUNTIME_TEST,not proven,no static evidence,statically reachable/unknown,STATICALLY_VALID
ImageGalleryWidget,lib/ai/ui/image_gallery_widget.dart,135,Switch,,,onChanged=shareController.toggleIncludeBrand,راجع callback عند file:line,not statically proven,manual/unknown,not proven,not proven,not proven,not proven,not proven,NEEDS_RUNTIME_TEST,NEEDS_RUNTIME_TEST,not proven,no static evidence,statically reachable/unknown,STATICALLY_VALID
ImageGalleryWidget,lib/ai/ui/image_gallery_widget.dart,143,GestureDetector,,visibility_off_rounded,onTap=() => isExpanded.toggle(),راجع callback عند file:line,not statically proven,manual/unknown,not proven,not proven,not proven,not proven,not proven,NEEDS_RUNTIME_TEST,NEEDS_RUNTIME_TEST,not proven,no static evidence,statically reachable/unknown,STATICALLY_VALID
ImageGalleryWidget,lib/ai/ui/image_gallery_widget.dart,181,SmartBouncyWrapper,,broken_image,onTap=() => _showPreview(context,راجع callback عند file:line,not statically proven,manual/unknown,present,not proven,present,not proven,not proven,NEEDS_RUNTIME_TEST,NEEDS_RUNTIME_TEST,not proven,no static evidence,statically reachable/unknown,STATICALLY_VALID
ImageGalleryWidget,lib/ai/ui/image_gallery_widget.dart,242,SmartBouncyWrapper,,,onTap=() {,راجع callback عند file:line,not statically proven,manual/unknown,not proven,not proven,not proven,not proven,not proven,NEEDS_RUNTIME_TEST,NEEDS_RUNTIME_TEST,not proven,no static evidence,statically reachable/unknown,STATICALLY_VALID
ImageGalleryWidget,lib/ai/ui/image_gallery_widget.dart,342,GestureDetector,,close_rounded,onTap=() => setDialogState(() => isScanning = false),راجع callback عند file:line,not statically proven,manual/unknown,not proven,not proven,not proven,not proven,not proven,NEEDS_RUNTIME_TEST,NEEDS_RUNTIME_TEST,not proven,no static evidence,statically reachable/unknown,STATICALLY_VALID
ImageGalleryWidget,lib/ai/ui/image_gallery_widget.dart,465,TextButton,إغلاق,,onPressed=() => Navigator.pop(context),راجع callback عند file:line,not statically proven,manual/unknown,not proven,not proven,not proven,not proven,not proven,NEEDS_RUNTIME_TEST,NEEDS_RUNTIME_TEST,not proven,no static evidence,statically reachable/unknown,STATICALLY_VALID
ImageGalleryWidget,lib/ai/ui/image_gallery_widget.dart,497,SmartBouncyWrapper,,,onTap=onTap | onLongPress=onLongPress,راجع callback عند file:line,not statically proven,manual/unknown,not proven,not proven,not proven,not proven,not proven,NEEDS_RUNTIME_TEST,NEEDS_RUNTIME_TEST,not proven,no static evidence,statically reachable/unknown,STATICALLY_VALID
_VideoCard,lib/ai/ui/video_discovery_widget.dart,93,GestureDetector,,remove_red_eye_rounded,onTap=() => _launchVideo(video.videoUrl),راجع callback عند file:line,not statically proven,manual/unknown,not proven,not proven,present,not proven,not proven,NEEDS_RUNTIME_TEST,NEEDS_RUNTIME_TEST,not proven,no static evidence,statically reachable/unknown,STATICALLY_VALID
AdminController,lib/controllers/admin_controller.dart,278,TextButton,مراجعة,,onPressed=() {,راجع callback عند file:line,not statically proven,manual/unknown,not proven,not proven,not proven,not proven,not proven,NEEDS_RUNTIME_TEST,NEEDS_RUNTIME_TEST,not proven,no static evidence,statically reachable/unknown,STATICALLY_VALID
AuthController,lib/controllers/auth_controller.dart,315,TextField,,,,راجع callback عند file:line,not statically proven,manual/unknown,not proven,not proven,not proven,not proven,not proven,NEEDS_RUNTIME_TEST,NEEDS_RUNTIME_TEST,not proven,no static evidence,statically reachable/unknown,STATICALLY_VALID
